Rainfall,River_Level,Drainage_Level,Soil_Moisture,Temperature,Flood_Risk
12,1.8,88,18,31,0
25,2.1,82,22,30,0
40,2.8,78,28,29,0
55,3.2,74,35,28,0
70,3.6,70,42,28,0
85,4.0,66,48,27,0
95,4.4,62,55,27,0
110,4.8,58,60,26,1
125,5.2,54,66,26,1
140,5.6,50,72,25,1
160,6.1,46,78,25,1
180,6.6,42,82,24,1
200,7.0,38,86,24,1
220,7.4,34,90,23,1
30,1.9,90,20,33,0
45,2.6,84,26,32,0
60,3.1,76,34,31,0
75,3.7,68,44,30,0
90,4.3,60,52,29,0
105,4.9,52,60,29,1
120,5.4,44,68,28,1
135,5.9,36,74,28,1
150,6.4,30,80,27,1
165,6.9,26,84,27,1
15,1.6,92,16,34,0
28,2.0,86,21,33,0
38,2.4,80,25,32,0
52,2.9,73,33,31,0
66,3.3,67,40,30,0
82,3.8,61,47,29,0
98,4.2,55,54,28,0
112,4.7,49,62,28,1
128,5.1,43,70,27,1
142,5.7,37,76,27,1
158,6.2,31,81,26,1
175,6.7,25,85,26,1
195,7.1,21,88,25,1
210,7.6,18,91,25,1
10,1.5,95,14,35,0
20,1.7,90,18,34,0
35,2.3,83,24,33,0
50,2.7,77,31,32,0
65,3.4,69,39,31,0
80,3.9,63,46,30,0
92,4.1,59,50,30,0
108,4.6,53,58,29,1
122,5.3,45,66,29,1
138,5.8,39,73,28,1
152,6.3,33,79,28,1
168,6.8,27,84,27,1
188,7.2,23,87,27,1
205,7.5,19,90,26,1
18,1.9,85,19,32,0
33,2.2,79,23,32,0
48,2.8,72,30,31,0
63,3.5,65,38,30,0
78,4.0,58,46,29,0
93,4.5,52,54,28,0
107,5.0,46,61,28,1
121,5.5,40,69,27,1
139,6.0,35,75,27,1
155,6.5,29,81,26,1
